name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
Mamma Mia,Jewel Changi Airport,restaurant,,,italian,,,,,,,,,,,
Monster Curry,Jewel Changi Airport,restaurant,,,japanese,,,,,,,,,,,
Mrs Pho,Jewel Changi Airport,restaurant,,,vietnamese,,,,,,,,,,,
Munchi Pancakes,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Naixue,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Nasty Cookie,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Nesuto,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Nine Fresh,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
Nong Geng Ji,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
NY Char Grill,Jewel Changi Airport,restaurant,,,,,,,,,,,,,,
OMEGA Pork Noodle,Jewel Changi Airport,restaurant,,,singaporean,,,,,,,,,,,
Paradise Classic,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
PAUL Bakery,Jewel Changi Airport,cafe,,,,,,,,,,,,PAUL,,
Pop Play Planet Cafe,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Potato Corner,Jewel Changi Airport,fast_food,,,,,,,,,,,,,,
Poulet Bijou,Jewel Changi Airport,restaurant,,,,,,,,,,,,,,
PS.Cafe,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
PUTIEN,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
Queic by Olivia,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Royal Host,Jewel Changi Airport,restaurant,,,japanese,,,,,,,,,,,
Sampanman,Jewel Changi Airport,restaurant,,,seafood,,,,,,,,,,,
Sanook Kitchen,Jewel Changi Airport,restaurant,,,thai,,,,,,,,,,,
SF Fruits & Juices,Jewel Changi Airport,fast_food,,,juice,,,,,,,,,,,
Shake Shack,Jewel Changi Airport,fast_food,,,burger,,,,,,,,,Shake Shack,,
Song Fa Bak Kut Teh,Jewel Changi Airport,restaurant,,,singaporean,,,,,,,,,,,
Soup Restaurant,Jewel Changi Airport,restaurant,,,singaporean,,,,,,,,,,,
Starbucks,Jewel Changi Airport,cafe,,,coffee_shop,,,,,,,,,Starbucks,,
Subway,Jewel Changi Airport,fast_food,,,sandwich,,,,,,,,,Subway,,
SugarBelly,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Sushi Tei,Jewel Changi Airport,restaurant,,,japanese,,,,,,,,,,,
Sushiro,Jewel Changi Airport,restaurant,,,japanese,,,,,,,,,,,
The 1872 Clipper Tea Co.,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
The Coach Restaurant,Jewel Changi Airport,restaurant,,,,,,,,,,,,,,
The Hainan Story,Jewel Changi Airport,restaurant,,,singaporean,,,,,,,,,,,
The Kitchen By Wolfgang Puck,Jewel Changi Airport,restaurant,,,,,,,,,,,,,,
The Satay Club,Jewel Changi Airport,restaurant,,,singaporean,,,,,,,,,,,
Tim Ho Wan,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
Toast Box & Thye Moh Chan,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Tokyo Milk Cheese Factory,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Tonkatsu by Ma Maison,Jewel Changi Airport,restaurant,,,japanese,,,,,,,,,,,
Treasures Yi Dian Xin,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
Tsui Wah,Jewel Changi Airport,restaurant,,,hong_kong,,,,,,,,,,,
Tsuta Japanese Soba Noodles,Jewel Changi Airport,restaurant,,,ramen,,,,,,,,,,,
Tun Xiang,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
Tutto by Da Paolo,Jewel Changi Airport,restaurant,,,italian,,,,,,,,,,,
Wa-En Wagyu,Jewel Changi Airport,restaurant,,,japanese,,,,,,,,,,,
White Restaurant,Jewel Changi Airport,restaurant,,,,,,,,,,,,,,
Wu Fang Zhai,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
Yun Nans,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
ZUS Coffee,Jewel Changi Airport,cafe,,,coffee_shop,,,,,,,,,,,
