"name","terminal","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Starbucks","B Gates","Airside","","B Gates, Center Core","","","","","","Mon.–Tue.: 4:30 a.m.–11 p.m.; Wed.–Sun.: Open 24 hours","","","","","","OPEN — on official Denver DEN website",""
"Starbucks","C Gates","Airside","","C Gates, Center Core","","","","","","Wed.–Sun.: 24 hours; Mon.–Tue.: 4:30 a.m.–11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Starbucks","B Gates","Airside","B32","B Gates, Near Gate B32","","","","","","Daily, 4:30 a.m. – 9:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Starbucks","B Gates","Airside","B63","B Gates, Near Gate B63","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Starbucks","B Gates","Airside","B80","B Gates, Near Gate B80","","","","","","Daily, 5:30 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Starbucks","Jeppesen Terminal","Landside","","Jeppesen Terminal, Level 6 West","","","","","","Daily, 4:30 a.m. – 8:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Steve's Snappin' Dogs","B Gates","Airside","B24","B Gates, Near Gate B24","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Sunset Loop Bar & Grill","B Gates","Airside","B63","B Gates, Near Gate B63","","","","","","Daily, 6 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Sunset Loop Market","B Gates","Airside","B62","B Gates, Near Gate B62","","","","","","Open 24-hours a day, seven days a week","","","","","","OPEN — on official Denver DEN website",""
"Superfruit Republic","C Gates","Airside","","C Gates, Center Core","","","","","","Daily, 4:30 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Taco Bell Cantina","A Gates","Airside","A47","A Gates, Near Gate A47","","","","","","Daily, 10 a.m. – 6 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Tacos Tequila Whiskey","A Gates","Airside","A18","A Gates, Near Gate A18","","","","","","Daily, 7 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Tapas Sky Bar","C Gates","Airside","C24","C Gates, Near Gate C24","","","","","","Daily, 9 a.m. – 5 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Teatulia Tea & Coffee Bar","C Gates","Airside","C62","C Gates, Near Gate C62","","","","","","Daily, 5:30 a.m. – 9:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"The Bagel Deli","A Gates","A38","A38","A Gates, Near Gate A38","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
