"name","terminal","concourse","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Garrett Popcorn Shops","Terminal 3","Concourse H","Airside","H2","Terminal 3 near Gate H2","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Garrett Popcorn Shops","Terminal 5","Concourse M","Airside","M18","Terminal 5 near Gate M18","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Gaslight Club","","","Landside","","Hilton near Hilton","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Gold Coast Dogs","Terminal 3","Concourse L","Airside","L4","Terminal 3 near Gate L4","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Goose Island Beer Company","Terminal 3","Concourse L","Airside","L10","Terminal 3 near Gate L10","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Goose Island Beer Company","Terminal 1","Concourse B","Airside","B1","Terminal 1 near Gate B1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Goose Island Pub","Terminal 1","Concourse C","Airside","C10","Terminal 1 near Gate C10","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Great American Bagel Company","Terminal 1","Concourse B","Airside","B14","Terminal 1 near Gate B14","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Great American Bagel Company","Terminal 3","Concourse T","Airside","T3","Terminal 3 near T3 Rotunda near Gate G1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Great American Bagel Company","Terminal 3","Concourse K","Airside","K1","Terminal 3 near Gate K1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Great American Bagel Company","Terminal 3","Concourse H","Airside","H10","Terminal 3 near Gate H10","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Green Market","Terminal 3","Concourse L","Airside","L3","Terminal 3 near Gate L3","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Green Market","Terminal 3","Concourse H","Airside","H5","Terminal 3 near Gate H5","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Half Moon Empanadas","Terminal 3","Concourse T","Airside","T3","Terminal 3 near T3 Rotunda near Gate G1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Home Run Inn Pizza","Terminal 2","Concourse E","Airside","E5","Terminal 2 near Gate E5","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Home Run Inn Pizza","Terminal 1","Concourse C","Airside","C11","Terminal 1 near Gate C11","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Hub 51","Terminal 5","Concourse M","Airside","M16","Terminal 5 near Gate M16","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"ICE Dishes & Drinks","Terminal 3","Concourse L","Airside","L1","Terminal 3 near Gate L1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Jamba Juice","Terminal 1","Concourse B","Airside","B7","Terminal 1 near Gate B7","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Jazz Bar","Terminal 1","Concourse C","Airside","C19","Terminal 1 near Gate C19","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"La Tapenade Mediterranean Cafe","Terminal 1","Concourse B","Airside","B4","Terminal 1 near Gate B4","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"La Tapenade Mediterranean Cafe","Terminal 3","Concourse H","Airside","H14","Terminal 3 near Gate H14","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"La Tapenade Mediterranean Cafe","Terminal 2","Concourse E","Airside","E9","Terminal 2 near Gate E9","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Macaroni Grill","Terminal 3","Concourse K","Airside","K2","Terminal 3 near Gate K2","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Manchu Wok","Terminal 1","Concourse C","Airside","C19","Terminal 1 near Gate C19","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Manchu Wok","Terminal 3","Concourse H","Airside","H5","Terminal 3 near Gate H5","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Manchu Wok","Terminal 3","Concourse T","Airside","T3","Terminal 3 near T3 Rotunda near Gate G1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"McDonald's","Terminal 1","Concourse C","Airside","C10","Terminal 1 near Gate C10","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"McDonald's","Terminal 1","Concourse B","Airside","B11","Terminal 1 near Gate B11","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"McDonald's","Terminal 2","Concourse F","Airside","F7","Terminal 2 near Gate F7","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"McDonald's","Terminal 3","Concourse H","Airside","H9","Terminal 3 near Gate H9","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"McDonald's","Terminal 3","Concourse H","Airside","H5","Terminal 3 near Gate H5","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"McDonald's","Terminal 3","Concourse K","Airside","K9","Terminal 3 near Gate K9","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"McDonald's","Terminal 3","Concourse L","Airside","L4","Terminal 3 near Gate L4","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"McDonald's","Terminal 5","","Landside","","Terminal 5 near Baggage Claim","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Metropolis Coffee Company","Terminal 5","Concourse M","Airside","M30","Terminal 5 near Gate M30","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Nuts on Clark","Terminal 1","Concourse C","Airside","C19","Terminal 1 near Gate C19","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Nuts on Clark","Terminal 2","Concourse E","Airside","E4","Terminal 2 near Gate E4","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Nuts on Clark","Terminal 3","Concourse H","Airside","H8","Terminal 3 near Gate H8","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Nuts on Clark","Terminal 5","","Landside","","Terminal 5 near Baggage Claim","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Nuts On Clark - Popcorn Vending","Terminal 2","Concourse E","","E6","Terminal 2 near E6","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"O'Briens Restaurant & Bar","Terminal 3","Concourse H","Airside","H5","Terminal 3 near Gate H5","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Pepsi Vending","Terminal 2","","Landside","","Terminal 2 - Departures / Check-In","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Pronto Sandwiches","Terminal 1","Concourse B","Airside","B14","Terminal 1 near Gate B14","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Protein Bar & Kitchen Kiosk","Terminal 5","Concourse M","Airside","M25","Terminal 5 near Gate M25","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Protein Bar and Kitchen","Terminal 5","Concourse M","Airside","M15","Terminal 5 near Gate M15","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
