name,cuisine,airport_count,airports,example_airport
Caribou Coffee,,2,DEN,DEN
Carluccio's,italian,2,"AMS, IST",IST
Carnatic Café,,2,DEL,DEL
Casa Ávila,,2,MEX,MEX
Chaayos,,2,DEL,DEL
CHAGEE,,2,"HKG, SIN",SIN
Chai Point,,2,"BOM, DEL",DEL
Cheers,,2,BOS,BOS
Chi Life Market,,2,ORD,ORD
CHICHA San Chen,,2,"HKG, SIN",SIN
Chilim Balam,,2,MEX,MEX
China Wok,chinese,2,"DXB, LIM",DXB
Chipotle,,2,BOS,BOS
Chowking,,2,MNL,MNL
Ciao Gourmet Market,,2,ORD,ORD
CIRCULO K,,2,MEX,MEX
Classic Noodles,,2,ICN,ICN
Coffee & More,,2,"BOM, BRU",BOM
Coffee Bean,coffee_shop,2,"CMB, ICN",ICN
Coffee Fellows,,2,"FRA, MUC",FRA
Comptoir Libanais,"Lebanese, Middle Eastern",2,"DOH, DXB",DOH
Cosmic Candy,,2,JNB,JNB
Cousin's Bar-B-Q,,2,DFW,DFW
Cozy Kitchen,,2,MNL,MNL
Crafted Bar,,2,LAS,LAS
Crispy Pork Cutlet,korean,2,ICN,ICN
Crystal Jade La Mian Xiao Long Bao,chinese,2,"HKG, SIN",SIN
Culinary Square,,2,ICN,ICN
Day2Day Eats,"International, Café",2,DOH,DOH
Dhaba,pakistani,2,"DEL, DXB",DXB
Dilli Streat,,2,DEL,DEL
Dos Toros Taqueria,mexican,2,"JFK, LGA",JFK
Dosa factory & Noodle,,2,DEL,DEL
Dunkin Donut,,2,MNL,MNL
Dunkin Donuts & Baskin-Robbins,,2,MCO,MCO
El Fogoncito,,2,MEX,MEX
El Globo,,2,MEX,MEX
El Gran Pastor,,2,MEX,MEX
Eric Kayser,,2,"CDG, LOS",CDG
Ex Tea,,2,CMB,CMB
Falafel Express,,2,"BOM, DEL",DEL
Farmers Market,,2,"ORD, YYZ",ORD
Five Guys,burger,2,"DXB, LHR",LHR
FLO Café,"Greek, Coffee, Café",2,DOH,DOH
FOOD GARDEN,korean,2,"ICN, KUL",ICN
Freshens Fresh Food Studio,,2,DEN,DEN
Fujiya Restaurant,,2,"DXB, NRT",DXB
Full Bar,,2,LAS,LAS
Get Your FIX,coffee_shop,2,DXB,DXB
Gloria Jean's Coffees,coffee_shop,2,"BKK, MEX",BKK
GODIVA Café,,2,"HKG, NRT",HKG
GONGPYEONG-DONG GIANT CUTLET,korean,2,ICN,ICN
Goose Island Beer Company,,2,ORD,ORD
GOPIZZA,pizza,2,"ICN, SIN",SIN
Grand Cru,,2,"GIG, SYD",GIG
Green Market,,2,ORD,ORD
Gujrati Svado,,2,DEL,DEL
Gusto Pasta Bar,pasta,2,"MEL, SYD",SYD
H & H Bagels,,2,JFK,JFK
Half Moon Empanadas,,2,"DEN, ORD",DEN
Haneulmaru Cafe,,2,ICN,ICN
Heberer's Traditional Bakery,,2,FRA,FRA
Heineken,,2,"DXB, ICN",DXB
Heineken Bar,,2,"BOM, DEL",DEL
Heirloom Bakery Cafe,,2,YYZ,YYZ
Henlin,,2,MNL,MNL
Hermann's Mobile,,2,FRA,FRA
HEYTEA,,2,"PKX, SIN",SIN
Hissho Sushi,,2,BOS,BOS
HOLLYS,coffee_shop,2,ICN,ICN
Home Run Inn Pizza,,2,ORD,ORD
Hudsons Coffee,coffee_shop,2,"MEL, SIN",SIN
Hungry Jack's,burger,2,"MEL, SYD",SYD
Idli.com,,2,"BOM, DEL",DEL
Ile Bar,,2,DEL,DEL
illy Café,"Italian, Coffee, Café",2,DOH,DOH
Irving Farm Coffee Roasters,coffee_shop,2,"JFK, LGA",JFK
JAMOCHA CAFÉ,"Coffee, Café",2,DOH,DOH
JaYeon,korean,2,ICN,ICN
Jeondongjib,korean,2,ICN,ICN
Jersey Mike's Subs,sandwich,2,"LAS, LAX",LAX
Jones the Grocer,,2,"AUH, LHR",LHR
Jones the Grocer Express,"Café, Gourmet Deli",2,"DOH, DXB",DOH
Juan Valdez Café,,2,"MEX, MIA",MEX
JUMBO Seafood,seafood,2,"SIN, TPE",SIN
Kape Manila,,2,MNL,MNL
Ke Rico,,2,MEX,MEX
KOI Thé,,2,SIN,SIN
KONThai,thai,2,ICN,ICN
Krispy Pork Cutlet,korean,2,ICN,ICN
La Place,,2,"MAD, YYZ",MAD
La Taba,,2,MEX,MEX
La Table de Michel Roth,,2,CDG,CDG
Le Grand Comptoir,"French, Brasserie",2,"DOH, JFK",DOH
Legal Sea Foods,,2,BOS,BOS
LeMa Dumpling,chinese,2,SIN,SIN
Levito,"Italian, Pizza, Pasta",2,"ATH, DOH",DOH
LINA'S,sandwich,2,ICN,ICN
Little Xingkai,chinese,2,ICN,ICN
Llaollao,frozen_yogurt,2,"MNL, SIN",SIN
Mad Mex,mexican,2,SYD,SYD
Marché Take Away,,2,ZRH,ZRH
Masala Twist,,2,"BOM, DEL",DEL
McCafé,,2,"KUL, LIS",KUL
Melt Shop,burger,2,"JFK, LGA",JFK
Misha's Cupcakes,,2,MIA,MIA
Modern Market,,2,DEN,DEN
Modern Shanghai,chinese,2,ICN,ICN
Mojo,,2,WLG,WLG
MONDO Bar,,2,FRA,FRA
Mos Burger,,2,"ICN, TPE",TPE
MUKYOKU,japanese,2,ICN,ICN
Namsan King Size Pork Cutlet,korean,2,ICN,ICN
Nando's,,2,"JNB, LGW",LGW
NIMAT,,2,ICN,ICN
Nooodles,,2,"KUL, MEL",MEL
Nourish,,2,"BOM, DEL",DEL
Novo Coffee,,2,DEN,DEN
O'briens,,2,KUL,KUL
Olive & Finch Grab & Go,,2,DEN,DEN
One Minute Gourmet,,2,"BKK, HKG",BKK
Oporto,,2,SYD,SYD
Oriental Bay,asian,2,ICN,ICN
OURHOME's Kimchi Cuisine,korean,2,ICN,ICN
OXXO,,2,MEX,MEX
Paname Tap House,,2,CDG,CDG
Pappadeaux Seafood Kitchen,,2,DFW,DFW
Papparoti,,2,DEL,DEL
Paradise Classic,,2,SIN,SIN
Paris Croissant,,2,ICN,ICN
Pasión del Cielo,,2,MEX,MEX
Paul Bassett,coffee_shop,2,ICN,ICN
PHO,vietnamese,2,ICN,ICN
Piece a Pizza,,2,JNB,JNB
Pinkberry,,2,"DFW, IAH",DFW
Pizza Hut Express,,2,"DEL, MIA",DEL
Popeyes Louisiana Kitchen,chicken,2,"DFW, HKG",HKG
Port of Subs,,2,"LAS, SEA",LAS
Potbelly Sandwich Shop,,2,BOS,BOS
Pronto Gino's,,2,MEX,MEX
Puro Gusto,,2,"AUH, FRA",FRA
Quick,,2,BRU,BRU
Ritazza,,2,"GIG, MAD",GIG
Rocky Mountain Chocolate Factory,,2,"DEN, ORD",DEN
Sahara Grill,,2,SYD,SYD
Salute,,2,MEX,MEX
Seattles Best Coffee,,2,MNL,MNL
SEGAFREDO CAFFE,coffee_shop,2,"CMB, KIX",KIX
Skillet,,2,SEA,SEA
Smashburger,,2,"DFW, YYZ",DFW
SMASHBURGER & Bar,,2,DEN,DEN
Smoothie King,,2,"DFW, ORD",DFW
Snooze an A.M. Eatery,,2,DEN,DEN
SODAM BANSANG,korean,2,ICN,ICN
SOHO Coffee,,2,"BHX, MAD",BHX
Sonsoo Ok,korean,2,ICN,ICN
Sophia Loren,,2,"FCO, FRA",FRA
Soul Origin,,2,"MEL, SYD",SYD
Stephanie's,,2,BOS,BOS
Strada by It,,2,CDG,CDG
strEAT,asian,2,"ICN, MAD",ICN
Sukiya,"japanese, gyudon",2,"KIX, SIN",SIN
Sushi Maki,,2,MIA,MIA
Sushi Sushi,japanese,2,"MEL, SYD",SYD
Sushia,japanese,2,SYD,SYD
Sushiro,japanese,2,"SIN, TPE",SIN
Sūshi,,2,CDG,CDG
Taste of Nature,,2,ICN,ICN
Terrace Bar,,2,LGA,LGA
The Kitchen By Wolfgang Puck,,2,"LAX, SIN",SIN
The Satay Club,singaporean,2,SIN,SIN
The Scoop,,2,"LGA, MCO",LGA
TJT Snack Bar,,2,JNB,JNB
Top Juice,juice,2,SYD,SYD
Tsim Sha Tsui,,2,MNL,MNL
TWOSOME PLACE,coffee_shop,2,ICN,ICN
Ultra Bar,,2,"BOM, DEL",DEL
Vaango,,2,"BOM, DEL",DEL
Veloce Espresso,,2,SYD,SYD
Villa Italian Kitchen,,2,"IAH, MIA",IAH
Villa Pizza,,2,"DEN, MIA",DEN
Vinifera,,2,YYZ,YYZ
Vino Volo,,2,"YVR, YYZ",YVR
Whataburger,,2,DFW,DFW
Whisk & Bowl,,2,DFW,DFW
Wow Bao,,2,"BOS, ORD",BOS
WPizza by Wolfgang Puck,pizza,2,"BOS, LAX",LAX
Wrapafella,,2,"BOM, DEL",DEL
Ya Kun Kaya Toast,,2,"KUL, SIN",SIN
Zaro's Family Bakery,,2,"JFK, LGA",JFK
ZUS Coffee,coffee_shop,2,"KUL, SIN",SIN
100% Natural,,1,MEX,MEX
100°C Fresco y Mexicano,,1,MEX,MEX
12oz,,1,FCO,FCO
1903 Lounge,,1,MAN,MAN
1903 Lounge (T3),,1,MAN,MAN
2 Cafe,,1,HKG,HKG
2.0 Taco & Tequila Bar,,1,DFW,DFW
305 Pizza,,1,MIA,MIA
365 Juices Bar,juice,1,SIN,SIN
4 Fingers Crispy Chicken,chicken,1,SIN,SIN
4 FOOD Street Kitchen,,1,MUC,MUC
5 Boroughs Food Emporium,,1,LGA,LGA
551HORAI,chinese,1,KIX,KIX
7-11,,1,TPE,TPE
7Café,,1,SIN,SIN
800 Degrees Pizza,pizza,1,LAX,LAX
A Noodle Story,singaporean,1,SIN,SIN
A Saideira,,1,GIG,GIG
A TWOSOME PLACE,coffee_shop,1,ICN,ICN
A-1 Bakery Express,,1,HKG,HKG
A-Roy Thai Restaurant,thai,1,SIN,SIN
ABC Kitchen,,1,KUL,KUL
Aburi-EN,japanese,1,SIN,SIN
Acacia Tree Café,,1,MNL,MNL
Ace Cerveceria & Tacos,mexican,1,LAX,LAX
Acer,,1,YYZ,YYZ
ActionCity Café,,1,SIN,SIN
ADDAL,,1,ICN,ICN
Adelholzener Bar,,1,MUC,MUC
Aero Sport Bar,,1,GIG,GIG
AFL Kitchen & Bar,,1,MEL,MEL
Africa Lounge,,1,SEA,SEA
AG1 - Vending Machine,,1,ORD,ORD
Aim Deli,,1,BKK,BKK
AIR Bakery,,1,ZRH,ZRH
Air Cargo Food Kiosk,,1,MNL,MNL
AIR Restaurant,,1,ZRH,ZRH
Airbräu,,1,MUC,MUC
Airbräu Next to Heaven,,1,MUC,MUC
Aircraft Brewers,,1,JNB,JNB
Airo Restaurant - ParkRoyal,,1,MEL,MEL
Airport Café,,1,MNL,MNL
Airport Corner,,1,TPE,TPE
Airport Juice Bar,,1,DOH,DOH
Airport Oliva,,1,MUC,MUC
Airport Tandoor,,1,DOH,DOH
Airr Toast,,1,DEL,DEL
Aj 1881,,1,BOM,BOM
Al Baraka Restaurant,,1,DXB,DXB
Al Dahleez,,1,DXB,DXB
Al Hallab,,1,DXB,DXB
Al Musaharati,,1,DXB,DXB
