name,cuisine,airport_count,airports,example_airport
Hitoyoshi Izakaya,japanese,1,SIN,SIN
Ho Fan Ho Sung,chinese,1,HKG,HKG
Ho Hung Kee,chinese,1,HKG,HKG
Hoegaarden Bar,,1,BOM,BOM
Hofbräu Bistro,,1,MUC,MUC
HOHOKATSU,japanese,1,ICN,ICN
Hokkaido Baked Cheese Tart,,1,SIN,SIN
HOLLYS (T1 Store),coffee_shop,1,ICN,ICN
HOLLYS COFFEE,coffee_shop,1,ICN,ICN
Holy Burger,,1,ATH,ATH
Holy Cow!,,1,ZRH,ZRH
Home of Joe,,1,JNB,JNB
Homeboy Cafe,,1,LAX,LAX
Homemade Udon KINEYA MUGIMARU,japanese,1,KIX,KIX
Homemade Udon Noodles KINEYAMUGIMARU,,1,NRT,NRT
Hong Master Danzai Noodles,,1,TPE,TPE
HOPE TREE,chinese,1,PKX,PKX
Horizon Bakery - CEGM,,1,JFK,JFK
Hoshino Coffee,coffee_shop,1,SIN,SIN
Hot Dog & Chicken,,1,ICN,ICN
Hot Tomato,,1,SIN,SIN
HUB & SPOKE CAFÉ,coffee_shop,1,SIN,SIN
Hub 51,,1,ORD,ORD
Hubcap Grill & Beer Yard,,1,IAH,IAH
Hucks Lieblingsplatz,,1,FRA,FRA
Hudson,,1,LGA,LGA
Hula Poké,,1,YVR,YVR
HUNG FOOK TONG,,1,HKG,HKG
Hung's Delicacies,chinese,1,HKG,HKG
Hungry Club,,1,MAD,MAD
Hungry Korean,korean,1,PKX,PKX
Hunt and Fish Grill,,1,LGA,LGA
HYOJA GOMTANG,korean,1,ICN,ICN
Häagen-Dazs,"Ice Cream, Café",1,AUH,AUH
Hédiard,,1,LIS,LIS
hómee KITCHEN,,1,TPE,TPE
Hómee RICE,,1,TPE,TPE
I love Paris by Guy Martin,,1,CDG,CDG
I-MEI CLASSIC RESTAURANT,,1,TPE,TPE
Ice Bar,,1,YYZ,YYZ
Ice Cream & Flowers,,1,LIS,LIS
ICE Dishes & Drinks,,1,ORD,ORD
Icebergs,,1,SYD,SYD
Ichikokudo Hokkaido Ramen,ramen,1,SIN,SIN
Icons Sports Bar & Grill,,1,YVR,YVR
Icons Victoria,,1,MEL,MEL
IJYSHENG,,1,TPE,TPE
IKARI Coffee,,1,TPE,TPE
Il Viaggio,,1,LGA,LGA
Illy Cafe,,1,KUL,KUL
illy Caffe Vending,,1,YVR,YVR
Illy Café Express/Subway,,1,MNL,MNL
Illy Go,,1,JNB,JNB
illycaffe and Relay,,1,YVR,YVR
Imm Rice & Noodle,thai,1,BKK,BKK
Imperial Treasure Super Peking Duck,chinese,1,SIN,SIN
Inbound Café,,1,SYD,SYD
India,,1,ZRH,ZRH
India Palace,indian,1,DXB,DXB
Indian Brewery,,1,BHX,BHX
Indomie Cafe,,1,LOS,LOS
Ink Sack,sandwich,1,LAX,LAX
Insomnia,,1,DUB,DUB
INTERVALS Sky Bar & Restaurant,,1,HKG,HKG
Ipoh Town,malaysian,1,SIN,SIN
Ippudo Express,ramen,1,SIN,SIN
Irish house,,1,BOM,BOM
Ironside Fish & Oyster,,1,BOS,BOS
Italiannis,,1,MEX,MEX
ITEA Premium,,1,SIN,SIN
J&G Fried Chicken,,1,TPE,TPE
J.B. Sullivan's,,1,BOS,BOS
Jack in the Box,,1,IAH,IAH
Jack's Bar and Grill,,1,DXB,DXB
Jack's Place,,1,SIN,SIN
Jackie's,,1,IST,IST
Jackson Soul Food,,1,MIA,MIA
Jacksons Republic,,1,JNB,JNB
Jacob's Pickles,,1,JFK,JFK
Jailbird,burger,1,DXB,DXB
Jaipur,Indian,1,DOH,DOH
Jalasat,,1,DXB,DXB
Jamba Juice T1-AIR,juice,1,ICN,ICN
Jamba Juice T2-AIR,juice,1,ICN,ICN
Jamba Juice T2-LAND,juice,1,ICN,ICN
Jamie Oliver Pizzeria,,1,KUL,KUL
Jamie's Deli,,1,GIG,GIG
JAMUNBAK,korean,1,ICN,ICN
Japadog,,1,YVR,YVR
Japan Traveling Restaurant by BOTEJYU,japanese,1,KIX,KIX
Japanese cuisine restaurant KAMI-HIKOKI,,1,NRT,NRT
JAPANESE RESTAURANT,japanese,1,KIX,KIX
Jardin de Jade,chinese,1,HKG,HKG
JAVA Coffee House,,1,BRU,BRU
Jazz Bar,,1,ORD,ORD
Jco Reserve,,1,MNL,MNL
Jeju Dombeok,korean,1,ICN,ICN
Jeju Seho Haejangguk,korean,1,ICN,ICN
Jersey Mike's,,1,LGA,LGA
Jersey Mike's - Gates 100-129,,1,MCO,MCO
Jetside Lounge,,1,YVR,YVR
Ji Xiang Hun Tun,chinese,1,CAN,CAN
Jibby Chow,,1,KUL,KUL
Jimmy John's,sandwich,1,JFK,JFK
Jin Xian Platinum Braised Pork Rice,,1,TPE,TPE
JINROKU,,1,NRT,NRT
Joe and The Juice,,1,YVR,YVR
Joe Coffee,coffee_shop,1,JFK,JFK
Jones the Grocer Social,"Café, Gourmet, Restaurant",1,DOH,DOH
Jose Cuervo Tequileria,,1,LAS,LAS
Josh's Grill,,1,SIN,SIN
Joy Full House,chinese,1,HKG,HKG
Juice & More,juice,1,BKK,BKK
Juice Bear,,1,TPE,TPE
Juice Press,,1,LGA,LGA
Jumbo King,,1,BOM,BOM
Jump Juice,,1,DUB,DUB
Junior's Restaurant and Cheesecake,,1,LGA,LGA
Juniper & Co,,1,LGW,LGW
Just Arrived,,1,LIS,LIS
Jwala,"Indian, Street Food",1,DOH,DOH
K-mealkit Smart Restaurant,korean,1,ICN,ICN
Ka Tunying,,1,MNL,MNL
Ka Tunying'S,,1,MNL,MNL
Ka Tunying'S Café,,1,MNL,MNL
Kabuki,,1,MAD,MAD
kafeD,,1,TPE,TPE
Kagonoya,japanese,1,KIX,KIX
Kailash Parbat,,1,BOM,BOM
Kaimakk,,1,IST,IST
Kaishu Rice & Noodles Express,,1,MNL,MNL
Kake Da Dhaba,indian,1,DXB,DXB
Kakurega,,1,TPE,TPE
Kam's Roast,chinese,1,SIN,SIN
KANE MOCHI,,1,SIN,SIN
Kanekohannosuke,japanese,1,KIX,KIX
KANNO COFFEE,,1,NRT,NRT
Kanom,,1,BKK,BKK
Kantin,singaporean,1,SIN,SIN
Karak,,1,DXB,DXB
Karakccino,,1,DXB,DXB
Katsu-ichi Narita,,1,NRT,NRT
Katsuichi,,1,NRT,NRT
Kayak,,1,ATH,ATH
KEIKA RAMEN,,1,NRT,NRT
Kenny Rogers,,1,MNL,MNL
Kenny Rogers Roasters,,1,MNL,MNL
Kentucky Fried Chicken,chicken,1,LAX,LAX
KFC Express / Pizza Hut Express,,1,DEN,DEN
KFC Kentucky Fried Chicken,,1,FRA,FRA
KIEFEL,,1,KIX,KIX
Kiku,japanese,1,DXB,DXB
Kimbo,,1,BRU,BRU
Kimbok,,1,DUB,DUB
Kimchi Mama,korean,1,SIN,SIN
Kimukatsu,,1,NRT,NRT
Kin Japanese Restaurant,japanese,1,BKK,BKK
KING BAKERY,,1,HKG,HKG
King David Tacos,,1,LGA,LGA
Kirei,,1,CDG,CDG
Kitchen by Mike,,1,SYD,SYD
Kitchen Open House,,1,KUL,KUL
Kiwami Ramen,ramen,1,SIN,SIN
KIX BEER,,1,KIX,KIX
KO,,1,LIM,LIM
Koh Hop Bar,"burger, thai, breakfast, pasta, sandwich, fish, seafood",1,BKK,BKK
Kohantei Bifteck & Wine,,1,NRT,NRT
KOI Express,,1,SIN,SIN
Koi Kitchen,,1,LAS,LAS
Koi Shi Sushi Bar,,1,SEA,SEA
Koi Sushi Bar,,1,ATH,ATH
KOMERAKU,,1,NRT,NRT
Komyuniti Bar & Restaurant,,1,IST,IST
KONATSU,,1,NRT,NRT
Konjiki Hototogisu,ramen,1,HKG,HKG
Kopikakis,coffee_shop,1,SIN,SIN
Korea Culture,korean,1,SIN,SIN
Korea Food & Pancakes,korean,1,ICN,ICN
Kosher food,,1,FRA,FRA
KOSUKE,japanese,1,BKK,BKK
Koulourades,,1,ATH,ATH
Kozinha Sushi Bar & Árabe,japanese,1,GIG,GIG
Kura Sushi,,1,TPE,TPE
Kushitei,,1,NRT,NRT
Kyochon,,1,KUL,KUL
Käfer,,1,MUC,MUC
Käfer - factory of enjoyment,,1,MUC,MUC
Käfer Bistro,,1,MUC,MUC
l'Oro di Napoli,,1,ZRH,ZRH
L.A Chicks,,1,MNL,MNL
La Baguetelle,,1,MEX,MEX
La Barra de la Bientirada,,1,MAD,MAD
LA BETTOLA da Ochiai Terminal1,,1,NRT,NRT
LA BETTOLA da Ochiai Terminal2,,1,NRT,NRT
La Bientirada,,1,MAD,MAD
La Bonbonniere,,1,LIM,LIM
La Bottega del Tartufo,,1,MAD,MAD
La Brioche Dorée,"French, Bakery",1,DOH,DOH
La Buena Tierra,,1,MEX,MEX
La Cachondita Pibil,,1,MEX,MEX
La Carreta,,1,MIA,MIA
La Casita,,1,DEN,DEN
La Chinata,,1,MAD,MAD
La Chula Bar & Taqueria,,1,LGA,LGA
La Colombe & The Great Bagel,,1,MIA,MIA
La Crème Coffee & Tea,,1,DFW,DFW
La Jamonería,,1,MAD,MAD
La Kaffa,,1,TPE,TPE
La Lucha,,1,LIM,LIM
La Madeleine,,1,DFW,DFW
La Masion,,1,MEX,MEX
La Pasteria - Flocafe,,1,ATH,ATH
La Pausa Self Service,,1,LIS,LIS
La Taba Express,,1,MEX,MEX
La Taba Sport Bar,,1,MEX,MEX
La Vie En Rose,,1,SEA,SEA
La Vieja Molienda,,1,MEX,MEX
Ladurée,,1,CDG,CDG
Lady M,,1,SIN,SIN
Lady M New York,,1,HKG,HKG
LAGRILLIA,italian,1,ICN,ICN
Lancôme Café De La Rose,"French, Café, Luxury",1,DOH,DOH
Lanzhou Noodles,noodles,1,CAN,CAN
Lanzhou Ramen Daikokuya,,1,NRT,NRT
Lao Guang Ji,chinese,1,CAN,CAN
LAOSHE TEAHOUSE,tea,1,PKX,PKX
LAS MKT,,1,LAS,LAS
Las Reyes,,1,LIM,LIM
Las Reyes Swing,,1,LIM,LIM
Last Call,"Bar, International",1,DOH,DOH
Latitude,,1,GIG,GIG
Lavazza,,1,DEN,DEN
Lawson,,1,TPE,TPE
Le Amoretto,,1,MNL,MNL
Le Bar,,1,CDG,CDG
Le Cafe Louis Vuitton,,1,LHR,LHR
LE Congee,chinese,1,SIN,SIN
Le Coq,,1,MAD,MAD
Le Crogbag,,1,FRA,FRA
Le Grand Comptoir - Gate 22,,1,MCO,MCO
Le Pain Quotidien,,1,BRU,BRU
LE PAN Kobe Kitano,,1,KIX,KIX
Le Petit Camion,"French, Café",1,DOH,DOH
Le Petite Belge,"Belgian, International",1,DOH,DOH
Lebaneese,,1,DXB,DXB
Lee Cafe,,1,BKK,BKK
LEE Kitchen by Susur Lee,,1,YYZ,YYZ
Lee's Donuts,,1,YVR,YVR
Leffe Bar,,1,BRU,BRU
Lenbachs Bar & Gallery,,1,MUC,MUC
LEON,"burger, sandwich",1,LHR,LHR
Leon's Bagels,,1,JFK,JFK
Leon's Bodega,,1,ZRH,ZRH
Leon's Loft,,1,ZRH,ZRH
Levadura madre,,1,MAD,MAD
Levito: Pizza – Pasta,"Italian, Pizza, Pasta",1,AUH,AUH
Lift Bar and Grill,,1,YVR,YVR
Light Cafeteria,,1,DXB,DXB
LiHO,,1,SIN,SIN
Lilian's,,1,DUB,DUB
Lilong by Taste of Shanghai,chinese,1,SYD,SYD
Lime Garden (Sky)+,,1,HKG,HKG
Listo,,1,LIM,LIM
Little Flour,,1,MNL,MNL
Little Lygon,,1,MEL,MEL
Little Man Ice Cream,,1,DEN,DEN
Little Melbourne,,1,MEL,MEL
Little Orient,,1,ZRH,ZRH
Liv Eat,,1,SYD,SYD
Liv Eat Healthy Eating,,1,MEL,MEL
livfarm,,1,ICN,ICN
LiXin Teochew Fishball Noodle,singaporean,1,SIN,SIN
Loba Coffee,,1,IST,IST
Lobby Bar at Hyatt Regency,,1,MCO,MCO
Lok Tao,chinese,1,CAN,CAN
London's Pride by Fullers,,1,LHR,LHR
Long Yin,chinese,1,DXB,DXB
Loop Bagels,,1,SYD,SYD
Lorena Garcia Tapas y Cocina,,1,DFW,DFW
Loretta's Last Call,,1,BOS,BOS
Lotus Dumpling Bar,chinese,1,SYD,SYD
Louis Vuitton Lounge,"Luxury, Café, French",1,DOH,DOH
Loulou,,1,SYD,SYD
Love Shack,,1,DFW,DFW
Lucky Bread,,1,JNB,JNB
Lucky Louie Fish Shack,,1,SEA,SEA
Lucky Streak Cocktail Lounge,,1,LAS,LAS
Lucullus Nero,,1,FRA,FRA
Lucy's Asian Kitchen,asian,1,JFK,JFK
Luggaw,,1,BKK,BKK
Luke's Bistro & Bar,,1,SYD,SYD
Luke's Lobster,seafood,1,SIN,SIN
Lumos Cafe,,1,SYD,SYD
Lunchbox Laboratory,,1,SEA,SEA
M's Beef Bistro,steak,1,DXB,DXB
M's Seafood Bistro,seafood,1,DXB,DXB
Ma Mum,thai,1,SIN,SIN
MA MUM To Go,thai,1,SIN,SIN
Macaroni Grill,,1,ORD,ORD
Mad Ave. Market,,1,LGA,LGA
Mad Over Donuts,,1,BOM,BOM
Madhuban Modern Indian,indian,1,JFK,JFK
Madras Coffee House,,1,BOM,BOM
Madrí,,1,MAD,MAD
Maeda Coffee,,1,TPE,TPE
Maestro Della Pizza,,1,MIA,MIA
Maggiano's,,1,DFW,DFW
Maggio's,,1,SYD,SYD
Magnolia Bakery,,1,LGA,LGA
Magnum Gate,,1,MUC,MUC
Maia Coffee & Chocolate,"Coffee, Chocolates, Café",1,DOH,DOH
maidoookinishokudo kankushokudo,japanese,1,KIX,KIX
Mailo's The Pasta Project,,1,ATH,ATH
Main Bissen,,1,FRA,FRA
Maisen,,1,NRT,NRT
Maisen Terminal2,,1,NRT,NRT
Maison Pradier,,1,CDG,CDG
Malatya Pazarı,,1,IST,IST
Mama Lou'S,,1,MNL,MNL
Mamak,,1,MNL,MNL
Mamma Mia,italian,1,SIN,SIN
Manga Sushi,,1,FRA,FRA
Mango Star,,1,BKK,BKK
Mango Tree & Heineken World Bar,,1,SIN,SIN
Mania de Churrasco,barbecue,1,GIG,GIG
Manis Cafe,,1,BOM,BOM
Manseokjang,korean,1,ICN,ICN
Marathi,,1,YYZ,YYZ
Marché,,1,SIN,SIN
Marché coffee bar,,1,ZRH,ZRH
Marché Restaurant,,1,ZRH,ZRH
Marczyk Fine Foods,,1,DEN,DEN
Mareb Mandi,,1,DXB,DXB
Margaritaville,,1,LAS,LAS
Marhaba Mandi,,1,DXB,DXB
Maria Empanada,,1,DEN,DEN
Mariposa,,1,GIG,GIG
Market by Villa,,1,MCO,MCO
Marqette,,1,DUB,DUB
Marugame Udon,,1,MNL,MNL
Mary Grace Café,,1,MNL,MNL
MasQMenos,,1,MAD,MAD
Master Hung,chinese,1,HKG,HKG
Master Kong / Meetrice,chinese,1,CAN,CAN
Master Kong Chef's Table,,1,PKX,PKX
Master Siomai,,1,MNL,MNL
MASUNG TTEOKBOKKI,korean,1,ICN,ICN
Mata Tofu Pudding,,1,TPE,TPE
Matsudo Tomitamendan,,1,NRT,NRT
MATSUYA,,1,NRT,NRT
MAURITIUS BROWN,,1,ICN,ICN
Max Brenner,,1,IST,IST
Mazuvillage,,1,TPE,TPE
Mc Donald's Sorvete,,1,GIG,GIG
McAlister's Deli,,1,DFW,DFW
McCoy's Bar & Grill at Hyatt Regency - Level 4,,1,MCO,MCO
McCoy's Bar & Grill To-Go,,1,MCO,MCO
McDonald's & McCafé,burger,1,HKG,HKG
McDonald's - Food Court,,1,MCO,MCO
McDonald's - Gates 100-129,,1,MCO,MCO
McDonald's Terminal1 3F,,1,NRT,NRT
McDonald's Terminal1 4F,,1,NRT,NRT
McDonald's Terminal2,,1,NRT,NRT
MEALBON,,1,ICN,ICN
Meallions,,1,ICN,ICN
MEBUYTEA,,1,TPE,TPE
Meltise,,1,SIN,SIN
Mempci Coop,,1,MNL,MNL
Men Wah Bing Teng,hong_kong,1,HKG,HKG
MENSHO,ramen,1,KIX,KIX
Mercantile Dining & Provision,,1,DEN,DEN
Messo,,1,BOM,BOM
Metro Pizza,,1,LAS,LAS
Metropolis Coffee Company,,1,ORD,ORD
Mezze,,1,LGA,LGA
Mezze Za Za,,1,MEL,MEL
Mi Solo Yakiniku,,1,TPE,TPE
Midtown Bistro,,1,JFK,JFK
Mifuneyama Ramen,,1,NRT,NRT
Mija Cantina & Tequila Bar,,1,BOS,BOS
Milch,,1,BKK,BKK
Milk Cafe,,1,HKG,HKG
Mill Street Brewery Pub,,1,YYZ,YYZ
Mimi Dandan,,1,ICN,ICN
Minibar,,1,FRA,FRA
Mint & Mirchi,,1,BOM,BOM
Mionetto Bar,,1,MUC,MUC
Misojeong,asian,1,ICN,ICN
Mister Donut,,1,MNL,MNL
Mister Softee,,1,JFK,JFK
Mito,,1,JFK,JFK
MITSUMOTO TEI Terminal1,,1,NRT,NRT
Mitti Café,,1,BOM,BOM
Miyatake Sanuki Udon,,1,NRT,NRT
Miyou,,1,CDG,CDG
Mizu Sushi Izakaya,,1,DEN,DEN
MODAKK SNACK,,1,ICN,ICN
Modelo Cantina,,1,LAS,LAS
Moe's Indian Kitchen,,1,SEA,SEA
Moe's Southwest Grill,,1,LAS,LAS
Moe's Southwest Grill - Food Court,,1,MCO,MCO
Mon Kooloor,,1,ATH,ATH
MONDO Restaurant,,1,FRA,FRA
Monica's Mercato,,1,BOS,BOS
Monster Curry,japanese,1,SIN,SIN
Moo Parlour,,1,DUB,DUB
Mood Up,,1,IST,IST
MOONMOONFOOD,,1,TPE,TPE
Moscovitas,,1,MAD,MAD
Moti Mahal,,1,BOM,BOM
Moti Mahal Deluxe,,1,DEL,DEL
Mountain Hub Gourmet,,1,MUC,MUC
Mountain Hub Social Dining,,1,MUC,MUC
Mountain Room,,1,SEA,SEA
Mr Teh Tarik Express,,1,SIN,SIN
Mr Toads Pub & Kitchen,,1,DXB,DXB
Mr. Coconut,,1,SIN,SIN
Mr. Oso by Senor Bear,,1,DEN,DEN
Mrs Fields Bakery Cafe,,1,SYD,SYD
Mrs Pho,vietnamese,1,SIN,SIN
Mugg & Bean,,1,JNB,JNB
Mugi To Olive-Rousokuya,,1,NRT,NRT
Muhlach Ensaymada,,1,MNL,MNL
Mulberry Street,,1,LGA,LGA
Mumbai Central,,1,DEL,DEL
Mumbai Se,,1,BOM,BOM
Mumbai Snacks,,1,BOM,BOM
Munchi Pancakes,,1,SIN,SIN
MUSUBIYA HINONE MIZUNONE,japanese,1,KIX,KIX
mvnch,,1,IST,IST
My Bistro,,1,LIS,LIS
My Bistro Coffee & Drinks,,1,LIS,LIS
Méridien Village Terrace,,1,DXB,DXB
Münchner Leibspeise,,1,MUC,MUC
N.E. MKT,,1,BOS,BOS
Naashto,,1,BOM,BOM
NADAMAN,,1,NRT,NRT
NADRI HOEGWAN,korean,1,ICN,ICN
Nadri Jjolmyeon,korean,1,ICN,ICN
Nagaoka,,1,MEX,MEX
NAGASAKASARASINA NUNOYATAHEE,,1,NRT,NRT
Naixue,,1,SIN,SIN
NAKAU,japanese,1,KIX,KIX
Nam Kee Pau,singaporean,1,SIN,SIN
NamNam,vietnamese,1,SIN,SIN
Namsan King Pork Cutlet,korean,1,ICN,ICN
nana's green tea,japanese,1,KIX,KIX
Nanny's Northwest BBQ Joint,,1,SEA,SEA
Nanyang,,1,MNL,MNL
Nap Tea,tea,1,HKG,HKG
Nasty Cookie,,1,SIN,SIN
Nathan Rd Asian Kitchen,,1,MEL,MEL
Nathan's Famous,,1,MIA,MIA
Nathan's Famous Hot Dogs,,1,LAS,LAS
Nathan's Famous Hot Dogs - Gates 70-79,,1,MCO,MCO
Naturals,,1,BOM,BOM
Navarre,,1,LAX,LAX
Naya,,1,JFK,JFK
Negishi Sushi Bar,,1,ZRH,ZRH
Neighborhood Bubble Tea & Coffee,,1,SEA,SEA
Neighborhood Cafe,,1,SEA,SEA
NENI Deli,,1,FRA,FRA
Nenrinya CAFÉ & DINER,,1,NRT,NRT
Nescafé,,1,GIG,GIG
Nespresso,,1,LIS,LIS
Nesuto,,1,SIN,SIN
Network 18 Café,,1,DEL,DEL
New Belgium Brewing,,1,DEN,DEN
New Defood Restaurant,,1,DXB,DXB
New York Burrito Company,,1,BOM,BOM
Nightflight Bar,,1,MUC,MUC
Nine Fresh,chinese,1,SIN,SIN
Nineteen40,,1,DUB,DUB
Ninth & Pike,,1,SEA,SEA
Nippon Ramen,ramen,1,HKG,HKG
No. 1 Traveller Lounge,,1,BHX,BHX
Nobel Burger,,1,YYZ,YYZ
nodi,,1,HKG,HKG
nodi | Moleskine,,1,HKG,HKG
Nolita Wine Bar,,1,JFK,JFK
Nom Wah,chinese,1,JFK,JFK
Nom Wah Bar,chinese,1,JFK,JFK
Nomad,,1,DUB,DUB
NOMALO COFFEE,coffee_shop,1,ICN,ICN
Nong Geng Ji,chinese,1,SIN,SIN
Nono'S Comfort Kitchen & Bakery,,1,MNL,MNL
Noodle Wok,,1,DEL,DEL
Noodles XO,,1,MEL,MEL
Noooodle,,1,KUL,KUL
Not Your Average Joe's,,1,BOS,BOS
Novu Campus Coffee Bar,,1,ZRH,ZRH
Noyah La Maison & Zero Degree,,1,SIN,SIN
Nuevo,,1,DXB,DXB
Nusr-Et,,1,IST,IST
Nutella,,1,DXB,DXB
Nuts On Clark - Popcorn Vending,,1,ORD,ORD
NUTTEA,tea,1,HKG,HKG
Nutty Bavarian,,1,GIG,GIG
NY Char Grill,,1,SIN,SIN
NY Creperie,,1,LGA,LGA
NY Deli / Gateway Bake Shop,,1,JFK,JFK
NY Fresh Subs,,1,JFK,JFK
NY Minute,,1,JFK,JFK
NYC Aglow,,1,LGA,LGA
NZZ Café,,1,ZRH,ZRH
O Mercado,,1,LIS,LIS
O Pasquim Bar e Prosa,,1,GIG,GIG
O'Briens Restaurant & Bar,,1,ORD,ORD
O'Coffee Club,coffee_shop,1,SIN,SIN
O'Coffee Club Roastery,,1,SIN,SIN
O'Coffee Club Xpress,,1,SIN,SIN
OAKBERRY AÇAI,,1,ICN,ICN
Obica,italian,1,IST,IST
Ocean Basket,,1,JNB,JNB
Old Chang Kee,singaporean,1,SIN,SIN
OldTown White Coffee,coffee_shop,1,HKG,HKG
Oliva & Bellota,,1,MAD,MAD
Olive Hill,,1,KIX,KIX
OMEGA Pork Noodle,singaporean,1,SIN,SIN
On the Border - Gates 1-29,,1,MCO,MCO
On the Border To Go - Gates 1-29,,1,MCO,MCO
On your way,,1,MAD,MAD
OnigiriBurger,japanese,1,KIX,KIX
ONTANGJIP,korean,1,ICN,ICN
Ooosh Oregano Bakery,,1,SYD,SYD
Open Space Tap Room,,1,SEA,SEA
Operation Falafel,"Middle Eastern, Street Food",1,AUH,AUH
Orange County Brewery,,1,MCO,MCO
Orange County Brewery - Gates C230-C245,,1,MCO,MCO
Orchard View,"International, Restaurant",1,DOH,DOH
Orchid Padaria Café Express,,1,HKG,HKG
Oreo Café,"Desserts, Café",1,DOH,DOH
ORIENTAL KOPI,,1,KUL,KUL
Origin Bar & Eatery,,1,FRA,FRA
Orlando Pride City Pub,,1,MCO,MCO
Orpheus + Apollo,,1,LGA,LGA
Osaka Gochi Shokudou,japanese,1,KIX,KIX
OSAKA OHSHO,,1,NRT,NRT
OSAKA TENMA SUSHI NISHIYA,japanese,1,KIX,KIX
Oshu Wafuu Dining Kanaami-Tsuji,,1,NRT,NRT
Osmow's Shawarma,,1,YYZ,YYZ
Osteria Marco,,1,DEN,DEN
Ottoman Eats,,1,BOM,BOM
OURDANG and In The Box,,1,ICN,ICN
Outback Steakhouse - Gates 70-79,,1,MCO,MCO
Outback Take Away - Gates 70-79,,1,MCO,MCO
Overflow,,1,SIN,SIN
Pacific Coast News Café,,1,YVR,YVR
Pacific Coffee,coffee_shop,1,CAN,CAN
Pacific Farms Market,,1,YVR,YVR
Pacific Market,,1,SEA,SEA
Padaria Lisboa,,1,LIS,LIS
Pajo's Fish & Chips,,1,YVR,YVR
Palaphita,,1,GIG,GIG
Palm Grill,,1,MNL,MNL
Palm Strip Bar & Restaurant,,1,CMB,CMB
Pan De Coco Diner,,1,MNL,MNL
Pan Sal Aire,,1,LIM,LIM
Pana,"Bar, Café, International",1,AUH,AUH
Pancake House,,1,MNL,MNL
Panda Express - Food Court,,1,MCO,MCO
Panda Express and Bar,,1,DFW,DFW
Pane & Cuore,,1,LIS,LIS
Panera Bread,,1,DFW,DFW
Pannus,,1,MAD,MAD
Panorama Bar,,1,LGA,LGA
Panos Sweet Bakery,,1,BRU,BRU
Papa John's,,1,DUB,DUB
Papacho's,burger,1,LIM,LIM
Paper Planes Cafe,,1,YVR,YVR
Pappadeaux Seafood Bar,,1,DFW,DFW
Paradise Dynasty,chinese,1,SIN,SIN
Paragon Tea Room,,1,YVR,YVR
Paramount Fine Foods,,1,YYZ,YYZ
Pardos Chicken,chicken,1,LIM,LIM
Paris Cafe,,1,JFK,JFK
Pasta Evangelists,,1,MAN,MAN
Pasta Station,,1,BOM,BOM
PastaMania,italian,1,SIN,SIN
Pastelaria Versailles,,1,LIS,LIS
Patamar,"Indian, Asian",1,AUH,AUH
Patamar To Go,"Indian, Asian",1,AUH,AUH
PAUL Bakery,,1,SIN,SIN
Paul Le Cafe,,1,KUL,KUL
Paulaner Bar & Biergarten,,1,MUC,MUC
Paulaner Bierhaus,,1,MUC,MUC
Paşa Döner,kebab,1,IST,IST
Peach Garden,chinese,1,SIN,SIN
Peet's at Night,,1,BOS,BOS
Peet's Coffee & Tea,,1,BOS,BOS
Peloton Bar & Eatery,,1,WLG,WLG
Penang Culture,malaysian,1,SIN,SIN
Pepsi Vending,,1,ORD,ORD
perfect day,,1,FRA,FRA
perfect day micro,,1,FRA,FRA
Peroni Bar,,1,SYD,SYD
Perusuyo,peruvian,1,LIM,LIM
Pete's Pies,,1,SYD,SYD
Peter Steak House,steak,1,CAN,CAN
Petit Gourmet,,1,JFK,JFK
Pezzo di Pane,,1,FRA,FRA
PGA TO GO,,1,LAS,LAS
PGA Tour Grill,,1,LAS,LAS
Philly Cheesesteaks,,1,JFK,JFK
Pho Hoa,,1,MNL,MNL
Phoenix Lane - Gate 424,,1,DUB,DUB
Phoenix Lane - South Gates,,1,DUB,DUB
Phoenix Lane Express - Gate 114,,1,DUB,DUB
Phoenix Lane Express - Gate 336,,1,DUB,DUB
Piazza Café & Bar Tnp,,1,MNL,MNL
Picard,,1,MEX,MEX
Pick & Joy,,1,MEX,MEX
Pick Up Stix,asian,1,LAX,LAX
Pickett's Deli & Rotisserie,,1,MEL,MEL
Pidem,,1,IST,IST
Pie Face,,1,BKK,BKK
Pier D,"Bar, International",1,AUH,AUH
Pierre Hermes,,1,IST,IST
Pilots Bar and Kitchen,,1,LHR,LHR
PINE KOREAN Restaurant,,1,TPE,TPE
Pipocassa,,1,GIG,GIG
Pizza,,1,ZRH,ZRH
Pizza  Pub,pizza,1,JFK,JFK
Pizza Al Taglio,,1,MEL,MEL
Pizza Bar,,1,MEX,MEX
Pizza CreAfe',,1,TPE,TPE
Pizza Hut & Delifrance,,1,CMB,CMB
Pizza Please,pizza,1,LAX,LAX
Pizza Vino Bar,pizza,1,JFK,JFK
Pizza Vino Kitchen & Bar,,1,JFK,JFK
PizzaExpress,,1,LGW,LGW
Pizzeria Enzo,pizza,1,IST,IST
PLE:EATING,korean,1,ICN,ICN
Plum Market Bar,,1,DFW,DFW
Poke Poke,,1,LAS,LAS
Poke to the Max,,1,SEA,SEA
Ponnusamy Restaurant,,1,DXB,DXB
Pool Bar,,1,JFK,JFK
Pop Play Planet Cafe,,1,SIN,SIN
Poppy's Bagels / Chuko Ramen,,1,LGA,LGA
Port of Subs/Mrs. Fields,,1,LAS,LAS
