name,cuisine,airport_code,airport_name
Skillet,,SEA,Seattle-Tacoma International
Sourced Market,,SEA,Seattle-Tacoma International
Village Pub,,SEA,Seattle-Tacoma International
Vyne Washington Tasting Room,,SEA,Seattle-Tacoma International
Wanderlust,,SEA,Seattle-Tacoma International
A Nature-Inspired Korean Food,korean,ICN,Seoul Incheon
ADDAL,,ICN,Seoul Incheon
AMERICAN TRAILER,,ICN,Seoul Incheon
ANGELINUS,,ICN,Seoul Incheon
Bizeun,,ICN,Seoul Incheon
Broth Kitchen,korean,ICN,Seoul Incheon
Bunsik Gotgan,korean,ICN,Seoul Incheon
Burger Station,burger,ICN,Seoul Incheon
BYEOLMIGA,korean,ICN,Seoul Incheon
BYULMI BUNSIK,korean,ICN,Seoul Incheon
Caffe Pascucci,coffee_shop,ICN,Seoul Incheon
CHAR,,ICN,Seoul Incheon
Cheongjindong Sundubu,korean,ICN,Seoul Incheon
Cheongun Miga,korean,ICN,Seoul Incheon
Chocolat palette,,ICN,Seoul Incheon
Choi Dining,,ICN,Seoul Incheon
Classic Noodles,,ICN,Seoul Incheon
COFFEE@WORKS,coffee_shop,ICN,Seoul Incheon
COLECTIVO,,ICN,Seoul Incheon
Crispy Pork Cutlet,korean,ICN,Seoul Incheon
Culinary Square,,ICN,Seoul Incheon
DOSUN,korean,ICN,Seoul Incheon
EGGDROP,,ICN,Seoul Incheon
FOOD EMPIRE EAST,,ICN,Seoul Incheon
FOOD EMPIRE WEST,,ICN,Seoul Incheon
Gajokhoegwan,korean,ICN,Seoul Incheon
GELCCINE,,ICN,Seoul Incheon
GONGPYEONG-DONG GIANT CUTLET,korean,ICN,Seoul Incheon
GORAESA,,ICN,Seoul Incheon
GRAZ COFFEE LAB,coffee_shop,ICN,Seoul Incheon
GYEINGSEONG BUNSIK,korean,ICN,Seoul Incheon
Haneulmaru Cafe,,ICN,Seoul Incheon
HANOKJIB KIMCHIJJIM,korean,ICN,Seoul Incheon
Hanokjip Kimchijjim,korean,ICN,Seoul Incheon
Hansik Sodam-gil,korean,ICN,Seoul Incheon
HOHOKATSU,japanese,ICN,Seoul Incheon
HOLLYS,coffee_shop,ICN,Seoul Incheon
HOLLYS (T1 Store),coffee_shop,ICN,Seoul Incheon
Hot Dog & Chicken,,ICN,Seoul Incheon
Hwangsaengga Kalguksu,korean,ICN,Seoul Incheon
HYOJA GOMTANG,korean,ICN,Seoul Incheon
JAMUNBAK,korean,ICN,Seoul Incheon
JaYeon,korean,ICN,Seoul Incheon
Jeju Dombeok,korean,ICN,Seoul Incheon
Jeju Seho Haejangguk,korean,ICN,Seoul Incheon
Jeondongjib,korean,ICN,Seoul Incheon
K-mealkit Smart Restaurant,korean,ICN,Seoul Incheon
KONThai,thai,ICN,Seoul Incheon
Korea Food & Pancakes,korean,ICN,Seoul Incheon
Krispy Kreme Doughnuts,donut,ICN,Seoul Incheon
Krispy Pork Cutlet,korean,ICN,Seoul Incheon
LAGRILLIA,italian,ICN,Seoul Incheon
LINA'S,sandwich,ICN,Seoul Incheon
Little Xingkai,chinese,ICN,Seoul Incheon
livfarm,,ICN,Seoul Incheon
Manseokjang,korean,ICN,Seoul Incheon
MASUNG TTEOKBOKKI,korean,ICN,Seoul Incheon
MAURITIUS BROWN,,ICN,Seoul Incheon
MEALBON,,ICN,Seoul Incheon
Meallions,,ICN,Seoul Incheon
Mimi Dandan,,ICN,Seoul Incheon
Misojeong,asian,ICN,Seoul Incheon
MODAKK SNACK,,ICN,Seoul Incheon
Modern Shanghai,chinese,ICN,Seoul Incheon
MUKYOKU,japanese,ICN,Seoul Incheon
NADRI HOEGWAN,korean,ICN,Seoul Incheon
Nadri Jjolmyeon,korean,ICN,Seoul Incheon
Namsan King Pork Cutlet,korean,ICN,Seoul Incheon
Namsan King Size Pork Cutlet,korean,ICN,Seoul Incheon
NIMAT,,ICN,Seoul Incheon
NOMALO COFFEE,coffee_shop,ICN,Seoul Incheon
OAKBERRY AÇAI,,ICN,Seoul Incheon
ONTANGJIP,korean,ICN,Seoul Incheon
Oriental Bay,asian,ICN,Seoul Incheon
OURDANG and In The Box,,ICN,Seoul Incheon
OURHOME's Kimchi Cuisine,korean,ICN,Seoul Incheon
Paris Croissant,,ICN,Seoul Incheon
PASCUCCI,coffee_shop,ICN,Seoul Incheon
PHO,vietnamese,ICN,Seoul Incheon
PLE:EATING,korean,ICN,Seoul Incheon
ROBOTGIMBAP,korean,ICN,Seoul Incheon
SAMCHUNGDANG,,ICN,Seoul Incheon
SAMJINAMOOK,korean,ICN,Seoul Incheon
Seoul-Street,,ICN,Seoul Incheon
Sinpo Sundae,korean,ICN,Seoul Incheon
SODAM BANSANG,korean,ICN,Seoul Incheon
SOI YEONNAM,thai,ICN,Seoul Incheon
Sokcho Kodari Naengmyeon,korean,ICN,Seoul Incheon
Sonsoo Ok,korean,ICN,Seoul Incheon
Sonsuheon,korean,ICN,Seoul Incheon
SOUL BOWL,,ICN,Seoul Incheon
SSOJA TOAST,,ICN,Seoul Incheon
TANTAN NOODLES KITCHEN,asian,ICN,Seoul Incheon
Taste of Nature,,ICN,Seoul Incheon
TASTY CUBE,,ICN,Seoul Incheon
TawBan,,ICN,Seoul Incheon
TAXIING 5,,ICN,Seoul Incheon
THE TACO BOOTH,mexican,ICN,Seoul Incheon
Tianlu,chinese,ICN,Seoul Incheon
Timeless Korean Dining (Hansik Sodam-gil),korean,ICN,Seoul Incheon
TORUNG BANGKOK,thai,ICN,Seoul Incheon
Tous Les Jours,,ICN,Seoul Incheon
TSUKIZEN,japanese,ICN,Seoul Incheon
TWOSOME PLACE,coffee_shop,ICN,Seoul Incheon
XINGKAI,chinese,ICN,Seoul Incheon
Yeongju Bubu Maeul,korean,ICN,Seoul Incheon
YOOIL DAK GANG JEONG,korean,ICN,Seoul Incheon
Yuksu Gojip,,ICN,Seoul Incheon
365 Juices Bar,juice,SIN,Singapore Changi
4 Fingers Crispy Chicken,chicken,SIN,Singapore Changi
7Café,,SIN,Singapore Changi
A Noodle Story,singaporean,SIN,Singapore Changi
A-Roy Thai Restaurant,thai,SIN,Singapore Changi
Aburi-EN,japanese,SIN,Singapore Changi
ActionCity Café,,SIN,Singapore Changi
Allora Ristorante & Bar,italian,SIN,Singapore Changi
Amps Tea,,SIN,Singapore Changi
An Acai Affair,,SIN,Singapore Changi
Anjappar,indian,SIN,Singapore Changi
Arteastiq,,SIN,Singapore Changi
Beauty in the Pot,chinese,SIN,Singapore Changi
Birds of Paradise,,SIN,Singapore Changi
Buk Chang Dong Soon Tofu,korean,SIN,Singapore Changi
Butter & Cream,,SIN,Singapore Changi
Cafe O,coffee_shop,SIN,Singapore Changi
Central Thai,thai,SIN,Singapore Changi
CHA MULAN,,SIN,Singapore Changi
Chatterbox Express,singaporean,SIN,Singapore Changi
Chef Wei HK Cheong Fun,hong_kong,SIN,Singapore Changi
Chengdu Bowl,chinese,SIN,Singapore Changi
Chow Zan Dessert,chinese,SIN,Singapore Changi
Chutney Mary,indian,SIN,Singapore Changi
Claypot Daddy,singaporean,SIN,Singapore Changi
Cookhouse,,SIN,Singapore Changi
Crown Prince Kitchenette,chinese,SIN,Singapore Changi
Dian Xiao Er,chinese,SIN,Singapore Changi
Elfuego by COLLIN'S,,SIN,Singapore Changi
Fish & Co,seafood,SIN,Singapore Changi
Food Republic,,SIN,Singapore Changi
Foodies' Clan,,SIN,Singapore Changi
Gochi-So Shokudo,japanese,SIN,Singapore Changi
Gourmet Sarawak,asian,SIN,Singapore Changi
Gwangjang GAON,korean,SIN,Singapore Changi
Hakka Yu,chinese,SIN,Singapore Changi
Harry's,,SIN,Singapore Changi
Harry's Bar and Dining,,SIN,Singapore Changi
Heavenly Wang,local,SIN,Singapore Changi
Hitoyoshi Izakaya,japanese,SIN,Singapore Changi
Hoshino Coffee,coffee_shop,SIN,Singapore Changi
Hot Tomato,,SIN,Singapore Changi
HUB & SPOKE CAFÉ,coffee_shop,SIN,Singapore Changi
Ichikokudo Hokkaido Ramen,ramen,SIN,Singapore Changi
Imperial Treasure Super Peking Duck,chinese,SIN,Singapore Changi
Ipoh Town,malaysian,SIN,Singapore Changi
ITEA Premium,,SIN,Singapore Changi
Jack's Place,,SIN,Singapore Changi
Josh's Grill,,SIN,Singapore Changi
Kam's Roast,chinese,SIN,Singapore Changi
KANE MOCHI,,SIN,Singapore Changi
Kantin,singaporean,SIN,Singapore Changi
Kimchi Mama,korean,SIN,Singapore Changi
Kiwami Ramen,ramen,SIN,Singapore Changi
KOI Express,,SIN,Singapore Changi
KOI Thé,,SIN,Singapore Changi
Kopikakis,coffee_shop,SIN,Singapore Changi
Korea Culture,korean,SIN,Singapore Changi
Lady M,,SIN,Singapore Changi
LE Congee,chinese,SIN,Singapore Changi
LeMa Dumpling,chinese,SIN,Singapore Changi
LiXin Teochew Fishball Noodle,singaporean,SIN,Singapore Changi
Luke's Lobster,seafood,SIN,Singapore Changi
Ma Mum,thai,SIN,Singapore Changi
MA MUM To Go,thai,SIN,Singapore Changi
Mamma Mia,italian,SIN,Singapore Changi
Mango Tree & Heineken World Bar,,SIN,Singapore Changi
Meltise,,SIN,Singapore Changi
Monster Curry,japanese,SIN,Singapore Changi
Mr Teh Tarik Express,,SIN,Singapore Changi
Mr. Coconut,,SIN,Singapore Changi
Mrs Pho,vietnamese,SIN,Singapore Changi
Munchi Pancakes,,SIN,Singapore Changi
Naixue,,SIN,Singapore Changi
Nam Kee Pau,singaporean,SIN,Singapore Changi
NamNam,vietnamese,SIN,Singapore Changi
Nasty Cookie,,SIN,Singapore Changi
Nesuto,,SIN,Singapore Changi
Nine Fresh,chinese,SIN,Singapore Changi
Nong Geng Ji,chinese,SIN,Singapore Changi
Noyah La Maison & Zero Degree,,SIN,Singapore Changi
NY Char Grill,,SIN,Singapore Changi
O'Coffee Club,coffee_shop,SIN,Singapore Changi
O'Coffee Club Roastery,,SIN,Singapore Changi
O'Coffee Club Xpress,,SIN,Singapore Changi
OMEGA Pork Noodle,singaporean,SIN,Singapore Changi
Overflow,,SIN,Singapore Changi
Paradise Classic,,SIN,Singapore Changi
Peach Garden,chinese,SIN,Singapore Changi
Pop Play Planet Cafe,,SIN,Singapore Changi
Poulet Bijou,,SIN,Singapore Changi
PS.Cafe,,SIN,Singapore Changi
Queic by Olivia,,SIN,Singapore Changi
Ramen Keisuke Singapore,ramen,SIN,Singapore Changi
Roost,,SIN,Singapore Changi
Rotiboy,,SIN,Singapore Changi
Royal Host,japanese,SIN,Singapore Changi
Saap Saap Thai,thai,SIN,Singapore Changi
Sampanman,seafood,SIN,Singapore Changi
Sanook Kitchen,thai,SIN,Singapore Changi
SF Fruits & Juices,juice,SIN,Singapore Changi
SG Hawker,,SIN,Singapore Changi
Singapore Food Street,singaporean,SIN,Singapore Changi
Soup Restaurant,singaporean,SIN,Singapore Changi
SugarBelly,,SIN,Singapore Changi
Taiwan Culture,taiwanese,SIN,Singapore Changi
Terrace Chinese Kitchen,chinese,SIN,Singapore Changi
The 1872 Clipper Tea Co.,,SIN,Singapore Changi
The Coach Restaurant,,SIN,Singapore Changi
The Hainan Story,singaporean,SIN,Singapore Changi
The Hainan Story Bakery,,SIN,Singapore Changi
The Satay Club,singaporean,SIN,Singapore Changi
TheJellyHearts,,SIN,Singapore Changi
Tiger Bar & Restaurant,,SIN,Singapore Changi
Tiger Den,,SIN,Singapore Changi
Tip Top,local,SIN,Singapore Changi
Tokyo Milk Cheese Factory,,SIN,Singapore Changi
Tonkatsu by Ma Maison,japanese,SIN,Singapore Changi
TP TEA,,SIN,Singapore Changi
Treasures Yi Dian Xin,chinese,SIN,Singapore Changi
Tsui Wah,hong_kong,SIN,Singapore Changi
Tun Xiang,chinese,SIN,Singapore Changi
Tutto by Da Paolo,italian,SIN,Singapore Changi
Wa-En Wagyu,japanese,SIN,Singapore Changi
Wang Noodle House,chinese,SIN,Singapore Changi
Wee Nam Kee Hainanese Chicken Rice,singaporean,SIN,Singapore Changi
White Restaurant,,SIN,Singapore Changi
Woke Ramen,ramen,SIN,Singapore Changi
Wu Fang Zhai,chinese,SIN,Singapore Changi
XW Western Grill,,SIN,Singapore Changi
Yun Nans,chinese,SIN,Singapore Changi
1915 Lanzhou Beef Noodles,chinese,SYD,Sydney Kingsford Smith
Allpress Espresso,,SYD,Sydney Kingsford Smith
Atrium Dine,,SYD,Sydney Kingsford Smith
Betty's Burgers,burger,SYD,Sydney Kingsford Smith
Bistro 2020,,SYD,Sydney Kingsford Smith
Brasserie Bread,,SYD,Sydney Kingsford Smith
Caffettino Espresso,,SYD,Sydney Kingsford Smith
Campos Coffee,coffee_shop,SYD,Sydney Kingsford Smith
EARL Dine,,SYD,Sydney Kingsford Smith
East x West Dine,,SYD,Sydney Kingsford Smith
Fat Yak Bar,,SYD,Sydney Kingsford Smith
Great Northern Dine,,SYD,Sydney Kingsford Smith
Heineken House,,SYD,Sydney Kingsford Smith
Hikari Ramen & Donburi,japanese,SYD,Sydney Kingsford Smith
Icebergs,,SYD,Sydney Kingsford Smith
Inbound Café,,SYD,Sydney Kingsford Smith
Kitchen by Mike,,SYD,Sydney Kingsford Smith
Lilong by Taste of Shanghai,chinese,SYD,Sydney Kingsford Smith
Liv Eat,,SYD,Sydney Kingsford Smith
Loop Bagels,,SYD,Sydney Kingsford Smith
Lotus Dumpling Bar,chinese,SYD,Sydney Kingsford Smith
Loulou,,SYD,Sydney Kingsford Smith
Luke's Bistro & Bar,,SYD,Sydney Kingsford Smith
Lumos Cafe,,SYD,Sydney Kingsford Smith
Mad Mex,mexican,SYD,Sydney Kingsford Smith
Maggio's,,SYD,Sydney Kingsford Smith
Mrs Fields Bakery Cafe,,SYD,Sydney Kingsford Smith
Ooosh Oregano Bakery,,SYD,Sydney Kingsford Smith
Oporto,,SYD,Sydney Kingsford Smith
Peroni Bar,,SYD,Sydney Kingsford Smith
Pete's Pies,,SYD,Sydney Kingsford Smith
Pulp + Grind,,SYD,Sydney Kingsford Smith
Roll'd,vietnamese,SYD,Sydney Kingsford Smith
Sahara Grill,,SYD,Sydney Kingsford Smith
Slim's Quality Burger,burger,SYD,Sydney Kingsford Smith
Sol Bowl,,SYD,Sydney Kingsford Smith
Stitch Coffee,,SYD,Sydney Kingsford Smith
Stone & Wood Dine,,SYD,Sydney Kingsford Smith
SumoSalad Green on Green,,SYD,Sydney Kingsford Smith
Sushia,japanese,SYD,Sydney Kingsford Smith
Sydney Coffee Trader,,SYD,Sydney Kingsford Smith
Taste of Thai,thai,SYD,Sydney Kingsford Smith
The Bistro by Wolfgang Puck,,SYD,Sydney Kingsford Smith
The Sushi Platter,japanese,SYD,Sydney Kingsford Smith
Toby's Estate,,SYD,Sydney Kingsford Smith
Top Juice,juice,SYD,Sydney Kingsford Smith
Tres Tacos,mexican,SYD,Sydney Kingsford Smith
Veloce Espresso,,SYD,Sydney Kingsford Smith
Viaggio Espresso + Bar,,SYD,Sydney Kingsford Smith
7-11,,TPE,Taipei Taoyuan
Airport Corner,,TPE,Taipei Taoyuan
Barista Premium,,TPE,Taipei Taoyuan
Bistro:D,,TPE,Taipei Taoyuan
Burger Land,,TPE,Taipei Taoyuan
C'est Bon Café,,TPE,Taipei Taoyuan
Chengmeng,,TPE,Taipei Taoyuan
Chinese Herb Rib Stew,,TPE,Taipei Taoyuan
COFFEE MAN,,TPE,Taipei Taoyuan
COLDSTONE,,TPE,Taipei Taoyuan
Comebuy,,TPE,Taipei Taoyuan
COMEME,,TPE,Taipei Taoyuan
D'Good Café,,TPE,Taipei Taoyuan
D3 Bar,,TPE,Taipei Taoyuan
Dan Dan Noodles,,TPE,Taipei Taoyuan
DAZZLING Café,,TPE,Taipei Taoyuan
Di Shui Dong Dumplings,,TPE,Taipei Taoyuan
Dome,,TPE,Taipei Taoyuan
Donburi Kitchen,,TPE,Taipei Taoyuan
Dovecat,,TPE,Taipei Taoyuan
Eslite Spectrum Café,,TPE,Taipei Taoyuan
FORMOSA CHANG,,TPE,Taipei Taoyuan
Fujian Noodles,,TPE,Taipei Taoyuan
Gentry Noodle,,TPE,Taipei Taoyuan
Gontran Cherrier,,TPE,Taipei Taoyuan
Guiji,,TPE,Taipei Taoyuan
HA-HA Braised Pork Rice,,TPE,Taipei Taoyuan
Hanlin Tea House,,TPE,Taipei Taoyuan
Hanlin Tea Room,,TPE,Taipei Taoyuan
Hao Hao Chi,,TPE,Taipei Taoyuan
Hong Master Danzai Noodles,,TPE,Taipei Taoyuan
hómee KITCHEN,,TPE,Taipei Taoyuan
Hómee RICE,,TPE,Taipei Taoyuan
I-MEI CLASSIC RESTAURANT,,TPE,Taipei Taoyuan
IJYSHENG,,TPE,Taipei Taoyuan
IKARI Coffee,,TPE,Taipei Taoyuan
J&G Fried Chicken,,TPE,Taipei Taoyuan
Jin Xian Platinum Braised Pork Rice,,TPE,Taipei Taoyuan
Juice Bear,,TPE,Taipei Taoyuan
kafeD,,TPE,Taipei Taoyuan
Kakurega,,TPE,Taipei Taoyuan
La Kaffa,,TPE,Taipei Taoyuan
Maeda Coffee,,TPE,Taipei Taoyuan
Mata Tofu Pudding,,TPE,Taipei Taoyuan
Mazuvillage,,TPE,Taipei Taoyuan
MEBUYTEA,,TPE,Taipei Taoyuan
Mi Solo Yakiniku,,TPE,Taipei Taoyuan
MOONMOONFOOD,,TPE,Taipei Taoyuan
PINE KOREAN Restaurant,,TPE,Taipei Taoyuan
Pizza CreAfe',,TPE,Taipei Taoyuan
RAMEN IROHA,,TPE,Taipei Taoyuan
Ramen Makotoya,,TPE,Taipei Taoyuan
Royal-House,,TPE,Taipei Taoyuan
Second Master & Young Young Bak Kut Teh,,TPE,Taipei Taoyuan
Shu Sheep a Bowl of Lamb,,TPE,Taipei Taoyuan
Sichuan Impression,,TPE,Taipei Taoyuan
Sky Elephant Thai Restaurant,,TPE,Taipei Taoyuan
STAR HOSEKI,,TPE,Taipei Taoyuan
Sugar & Spice,,TPE,Taipei Taoyuan
T2 Tea,,TPE,Taipei Taoyuan
THINK CURRY HOUSE,,TPE,Taipei Taoyuan
TKK Fried Chicken x KUNG FU TEA,,TPE,Taipei Taoyuan
Tofu Hot Pot,,TPE,Taipei Taoyuan
TONKATSU,,TPE,Taipei Taoyuan
VEGE CREEK,,TPE,Taipei Taoyuan
VWI COFFEE BAR,,TPE,Taipei Taoyuan
WANG'S BROTH,,TPE,Taipei Taoyuan
Wing Café,,TPE,Taipei Taoyuan
Xi Zai Bian Grilled Meat Rice,,TPE,Taipei Taoyuan
Yi Fong Tang,,TPE,Taipei Taoyuan
Yummy Town,,TPE,Taipei Taoyuan
BENITORA Xiao Chi,,NRT,Tokyo Narita
BOTEJYU EXPRESS,,NRT,Tokyo Narita
CAFE & DINING N's COURT,,NRT,Tokyo Narita
caffe LAT.25° Terminal1,,NRT,Tokyo Narita
caffe LAT.25° Terminal3 2F,,NRT,Tokyo Narita
caffe LAT.25° Terminal3 3F,,NRT,Tokyo Narita
Dashichazuke EN,,NRT,Tokyo Narita
DEAN & DELUCA CAFÉ Terminal1,,NRT,Tokyo Narita
DEAN & DELUCA CAFÉ Terminal2,,NRT,Tokyo Narita
FRUITPARLOR Mi'z,,NRT,Tokyo Narita
Ginshari Hokkaido,,NRT,Tokyo Narita
Ginza Kagari,,NRT,Tokyo Narita
Gyukatsu Kyoto Katsugyu,,NRT,Tokyo Narita
HAKATA ITTENMON,,NRT,Tokyo Narita
HANBIJAE,,NRT,Tokyo Narita
Homemade Udon Noodles KINEYAMUGIMARU,,NRT,Tokyo Narita
Japanese cuisine restaurant KAMI-HIKOKI,,NRT,Tokyo Narita
JINROKU,,NRT,Tokyo Narita
KANNO COFFEE,,NRT,Tokyo Narita
Katsu-ichi Narita,,NRT,Tokyo Narita
Katsuichi,,NRT,Tokyo Narita
KEIKA RAMEN,,NRT,Tokyo Narita
Kimukatsu,,NRT,Tokyo Narita
Kohantei Bifteck & Wine,,NRT,Tokyo Narita
KOMERAKU,,NRT,Tokyo Narita
KONATSU,,NRT,Tokyo Narita
Kushitei,,NRT,Tokyo Narita
LA BETTOLA da Ochiai Terminal1,,NRT,Tokyo Narita
LA BETTOLA da Ochiai Terminal2,,NRT,Tokyo Narita
Lanzhou Ramen Daikokuya,,NRT,Tokyo Narita
Maisen,,NRT,Tokyo Narita
Maisen Terminal2,,NRT,Tokyo Narita
Matsudo Tomitamendan,,NRT,Tokyo Narita
Mifuneyama Ramen,,NRT,Tokyo Narita
MITSUMOTO TEI Terminal1,,NRT,Tokyo Narita
Miyatake Sanuki Udon,,NRT,Tokyo Narita
Mugi To Olive-Rousokuya,,NRT,Tokyo Narita
NADAMAN,,NRT,Tokyo Narita
NAGASAKASARASINA NUNOYATAHEE,,NRT,Tokyo Narita
Nenrinya CAFÉ & DINER,,NRT,Tokyo Narita
OSAKA OHSHO,,NRT,Tokyo Narita
Oshu Wafuu Dining Kanaami-Tsuji,,NRT,Tokyo Narita
RAMEN ICHIKAKUYA,,NRT,Tokyo Narita
Ramen Miraku,,NRT,Tokyo Narita
Refreshments by NIWA no HOTORI,,NRT,Tokyo Narita
ROJI-URA CURRY SAMURAI.,,NRT,Tokyo Narita
Satellite restaurant TEPPAN YAKI,,NRT,Tokyo Narita
Savor Japanese Izakaya,,NRT,Tokyo Narita
SEIYOKEN,,NRT,Tokyo Narita
Sushi Kyotatsu Terminal1 North Wing,,NRT,Tokyo Narita
Sushi Kyotatsu Terminal2,,NRT,Tokyo Narita
Sushi Uogashi Nihon-ichi,,NRT,Tokyo Narita
Sushi-go-round GANSOZUSHI,,NRT,Tokyo Narita
Sushiichiban Satellite,,NRT,Tokyo Narita
T's TANTAN,,NRT,Tokyo Narita
TANG DYNASTY TO-SHO-MEN,,NRT,Tokyo Narita
Tempura Nihonbashi Tamai,,NRT,Tokyo Narita
TEPPAN YAKI MITSUMOTO TEI / MITSUMOTO COFFEE TEN,,NRT,Tokyo Narita
Teppanyaki Dotonbori Kurita,,NRT,Tokyo Narita
Teriyaki Chicken ITOME,,NRT,Tokyo Narita
Thai Restaurant Jai Thai,,NRT,Tokyo Narita
Tokyo Food Bar,,NRT,Tokyo Narita
TONKATSU INABA WAKO,,NRT,Tokyo Narita
Tonkatsu shinjuku saboten,,NRT,Tokyo Narita
tsukiji - Sushiiwa,,NRT,Tokyo Narita
Tsukiji Sushisei,,NRT,Tokyo Narita
TULLY'S COFFEE Terminal1,,NRT,Tokyo Narita
UOICHI,,NRT,Tokyo Narita
Williams,,NRT,Tokyo Narita
WithGreen,,NRT,Tokyo Narita
Yabase,,NRT,Tokyo Narita
YAKISUKI MEAT DISHES YANMA,,NRT,Tokyo Narita
YUMEAN,,NRT,Tokyo Narita
Zen Akasaka,,NRT,Tokyo Narita
ZKG RESTAURANT,,NRT,Tokyo Narita
Acer,,YYZ,Toronto Pearson
Apropos,,YYZ,Toronto Pearson
Archeo Pizzeria,,YYZ,Toronto Pearson
Bar 120,,YYZ,Toronto Pearson
Boccone Pronto,,YYZ,Toronto Pearson
Boccone Trattoria by Massimo Capra,,YYZ,Toronto Pearson
Booster Juice,,YYZ,Toronto Pearson
Camden Food Company,,YYZ,Toronto Pearson
Caplansky's Deli,,YYZ,Toronto Pearson
Cluny Grille,,YYZ,Toronto Pearson
Comfort Zone,,YYZ,Toronto Pearson
Corso Pizza and Pasta,,YYZ,Toronto Pearson
Distillery Bar,,YYZ,Toronto Pearson
El Catrin Taqueria,,YYZ,Toronto Pearson
Fetta,,YYZ,Toronto Pearson
Heirloom Bakery Cafe,,YYZ,Toronto Pearson
Henderson's Bottle Shop,,YYZ,Toronto Pearson
Ice Bar,,YYZ,Toronto Pearson
LEE Kitchen by Susur Lee,,YYZ,Toronto Pearson
Marathi,,YYZ,Toronto Pearson
Mill Street Brewery Pub,,YYZ,Toronto Pearson
Nobel Burger,,YYZ,Toronto Pearson
Osmow's Shawarma,,YYZ,Toronto Pearson
Paramount Fine Foods,,YYZ,Toronto Pearson
Rock Squeeze,,YYZ,Toronto Pearson
Smoke's Burritorie,,YYZ,Toronto Pearson
Smoke's Poutinerie,,YYZ,Toronto Pearson
Tap & Pour,,YYZ,Toronto Pearson
Thai Express,,YYZ,Toronto Pearson
The Burger Federation,,YYZ,Toronto Pearson
The Dirty Bird Chicken & Waffles Express,,YYZ,Toronto Pearson
The Hearth by Lynn Crawford,,YYZ,Toronto Pearson
Torteria San Cosme,,YYZ,Toronto Pearson
Twist by Roger Mooking,,YYZ,Toronto Pearson
Urban Market,,YYZ,Toronto Pearson
Vinifera,,YYZ,Toronto Pearson
Vino Volo Wine Bar,,YYZ,Toronto Pearson
Bubble Waffle Cafe,,YVR,Vancouver International
Dirty Apron,,YVR,Vancouver International
Galiano Cafe,,YVR,Vancouver International
Globe@YVR,,YVR,Vancouver International
Hanami Express,,YVR,Vancouver International
Hangar 49,,YVR,Vancouver International
Hula Poké,,YVR,Vancouver International
Icons Sports Bar & Grill,,YVR,Vancouver International
Japadog,,YVR,Vancouver International
Jetside Lounge,,YVR,Vancouver International
Lee's Donuts,,YVR,Vancouver International
Lift Bar and Grill,,YVR,Vancouver International
Pacific Coast News Café,,YVR,Vancouver International
Pacific Farms Market,,YVR,Vancouver International
Pajo's Fish & Chips,,YVR,Vancouver International
Paper Planes Cafe,,YVR,Vancouver International
Paragon Tea Room,,YVR,Vancouver International
Purebread,,YVR,Vancouver International
Romers Fresh Kitchen and Bar,,YVR,Vancouver International
Root98,,YVR,Vancouver International
Sal Y Limon,,YVR,Vancouver International
Salmon n' Bannock On The Fly,,YVR,Vancouver International
Sweet Maple Lounge,,YVR,Vancouver International
Triple O's,,YVR,Vancouver International
Whistler Taphouse & Grill,,YVR,Vancouver International
White Spot,,YVR,Vancouver International
Best Ugly Bagels,,WLG,Wellington Airport
Emporio Express,,WLG,Wellington Airport
Good Day,,WLG,Wellington Airport
Haha Chicken,korean,WLG,Wellington Airport
Mojo,,WLG,Wellington Airport
Peloton Bar & Eatery,,WLG,Wellington Airport
Ted & Rose,,WLG,Wellington Airport
Three Quarter Society,,WLG,Wellington Airport
Three Quarter Society Junior,,WLG,Wellington Airport
TJ Katsu Dumplings and Noodles,japanese,WLG,Wellington Airport
TJ Katsu Sushi,japanese,WLG,Wellington Airport
United Brew Works,,WLG,Wellington Airport
Whiskey Lima Golf,,WLG,Wellington Airport
AIR Bakery,,ZRH,Zurich Airport
AIR Restaurant,,ZRH,Zurich Airport
Alpenblick Bar,,ZRH,Zurich Airport
Alpine Bar,,ZRH,Zurich Airport
Aviolino,,ZRH,Zurich Airport
Babel Restaurant,,ZRH,Zurich Airport
Bakeside,,ZRH,Zurich Airport
Bar Iris,,ZRH,Zurich Airport
Bellevue,,ZRH,Zurich Airport
Bye Bye Bar,,ZRH,Zurich Airport
Caffè Spettacolo,,ZRH,Zurich Airport
Caviar House Seafood Bar,,ZRH,Zurich Airport
Center Bar and Kitchen,,ZRH,Zurich Airport
Chalet Suisse,,ZRH,Zurich Airport
Chreis 14 / Café BelleVUE,,ZRH,Zurich Airport
Confiseur Bachmann,,ZRH,Zurich Airport
Edelweiss Café,,ZRH,Zurich Airport
Greens,,ZRH,Zurich Airport
Holy Cow!,,ZRH,Zurich Airport
India,,ZRH,Zurich Airport
l'Oro di Napoli,,ZRH,Zurich Airport
Little Orient,,ZRH,Zurich Airport
Negishi Sushi Bar,,ZRH,Zurich Airport
Novu Campus Coffee Bar,,ZRH,Zurich Airport
NZZ Café,,ZRH,Zurich Airport
Pizza,,ZRH,Zurich Airport
Rice Up!,,ZRH,Zurich Airport
Roots,,ZRH,Zurich Airport
Sablier Rooftop Restaurant & Bar,,ZRH,Zurich Airport
Sapori d'Italia,,ZRH,Zurich Airport
Sportsbar & Terrace,,ZRH,Zurich Airport
